*InvoiceNo,*Customer,*InvoiceDate,*DueDate,Terms,Location,Memo,Item(Product/Service),ItemDescription,ItemQuantity,ItemRate,*ItemAmount,*ItemTaxCode,*ItemTaxAmount,Service Date
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,5ALIVE PULPY 85CL,5ALIVE PULPY 85CL,6,,9000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,AFANG,AFANG,3,,4500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,AMALA,AMALA,4,,2400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,AMALA ASSORTED,AMALA ASSORTED,18,,7200.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,AMALA BEEF ,AMALA BEEF ,23,,11000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,AMALA PONMO ,AMALA PONMO ,6,,2400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,ASSORTED,ASSORTED,4,,4000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,ASUN RICE,ASUN RICE,6,,22200.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,BBQ CHICKEN WINGS,BBQ CHICKEN WINGS,4,,11600.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,BEANS POTTAGE,BEANS POTTAGE,4,,5600.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,BERRY BLAST,BERRY BLAST,5,,7500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,BOILED EGG,BOILED EGG,22,,11000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,BOILED YAM,BOILED YAM,7,,8400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,BOILED YAM,BOILED YAM,1,,1200.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,CARIBBEAN RICE,CARIBBEAN RICE,5,,17500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,CHICKEN PIE WITH BRANDED CARRIER BAG,CHICKEN PIE WITH BRANDED CARRIER BAG,8,,7200.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,CHICKEN PIE WITH UNBRANDED CARRIER BAG,CHICKEN PIE WITH UNBRANDED CARRIER BAG,2,,1800.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,COCONUT RICE -,COCONUT RICE -,12,,20400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,COKE 65CL,COKE 65CL,6,,3000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,COLE SLAW,COLE SLAW,5,,2750.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,CONCOTION RICE,CONCOTION RICE,6,,11400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,CORN-DOG,CORN-DOG,9,,6300.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,DOUGHNUT WITH BRANDED POLY,DOUGHNUT WITH BRANDED POLY,2,,1400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,EBA,EBA,33,,16500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,EDIKAIKONG,EDIKAIKONG,3,,4500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,EFORIRO,EFORIRO,3,,3000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,EGG SAUCE,EGG SAUCE,5,,7500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,EGUSI,EGUSI,15,,22500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,EVA WATER-75CL,EVA WATER- 75CL,16,,8000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,FANTA 65CL,FANTA 65CL,5,,2500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,FEAST HOUSE SPECIAL PASTA,FEAST HOUSE SPECIAL PASTA,3,,9000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,FRIED RICE,FRIED RICE,4,,7200.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,GIZZARD PRO,GIZZARD PRO,1,,2500.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,GOAT MEAT PEPPER SOUP ,GOAT MEAT PEPPER SOUP ,3,,8700.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,GOLDEN ROLL,GOLDEN ROLL,2,,1800.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,GRILLED TITUS FISH,GRILLED TITUS FISH,3,,9000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,GRILLED TURKEY,GRILLED TURKEY,15,,54000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,HAKE FISH,HAKE FISH ,2,,6000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,JAM DOUGH,JAM DOUGH,3,,2100.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,JOLLOF RICE,JOLLOF RICE,33,,59400.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,MEAT PIE WITH BRANDED CARRIER BAG,MEAT PIE WITH BRANDED CARRIER BAG,19,,13300.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,MOIMOI WITH TITUS FISH,MOIMOI WITH TITUS FISH,17,,17000.0,Sales Tax,,02-09-2024
B02-09-2024,Walk In Customer,02-09-2024,02-09-2024,Due on receipt,1004 (VI),,MONSTER,MONSTER,1,,1500.0,Sales Tax,,02-09-2024
